rank,university,city
703,Assumption College,Worcester
855,"Baruch College, CUNY",New York City
732,Keck Graduate Institute,Claremont
691,Juniata College,Huntingdon
722,Columbia College,Columbia
635,Keene State College,Keene
753,Clark Atlanta University,Atlanta
717,Oral Roberts University,Tulsa
733,Kentucky State University,Frankfort
743,Eastern Virginia Medical School,Norfolk
769,University of Wisconsin-Parkside,Kenosha
784,University of Louisiana at Monroe,Monroe
724,Chatham University,Pittsburgh
673,Baldwin Wallace University,Berea
698,Pennsylvania Academy of the Fine Arts,Philadelphia
689,Jacksonville University,Jacksonville
737,Florida Southern College,Lakeland
754,Fayetteville State University,Fayetteville
708,Marietta College,Marietta
750,Oglethorpe University,Atlanta
725,St. John Fisher College,Rochester
704,Merrimack College,North Andover
700,Tarleton State University,Stephenville ...
707,Susquehanna University,Selinsgrove
734,Linfield University,McMinnville ...
740,Lawrence Technological University,Southfield
746,Concordia College,Moorhead
774,Western University of Health Sciences,Pomona
720,Chicago State University,Chicago
803,Stonehill College,Easton
719,Dakota State University,Madison ...
813,Xavier University of Louisiana,New Orleans
685,Eckerd College,Saint Petersburg ...
752,Benedictine University,Lisle
645,Bellevue University,Bellevue ...
751,University of the Incarnate Word,San Antonio
739,Shenandoah University,Winchester
817,Wartburg College,Waverly
799,Oklahoma City University,Oklahoma City
816,California Baptist University,Riverside ...
782,Prairie View A&M University,Prairie View ...
773,Clarion University of Pennsylvania,Clarion
744,Brooklyn Law School,Brooklyn
709,Columbus State University,Columbus
755,St. Mary's College of Maryland,St. Mary's City
742,King's College,Wilkes-Barre
748,Ringling College of Art and Design,Sarasota
745,Colorado Christian University,Lakewood
682,Otis College of Art and Design,Los Angeles
765,University of Dallas,Irving
759,University of Wisconsin-River Falls,River Falls
761,Vermont Law School,South Royalton
767,National Louis University,Chicago ...
701,Texas A&M University-Kingsville,Kingsville
807,Washington & Jefferson College,Washington
801,Oregon Institute of Technology,Klamath Falls
721,Hawaii Pacific University,Honolulu
941,Brooklyn College,Brooklyn
728,South University,Savannah
781,Allegheny College,Meadville
775,Massachusetts College of Art and Design,Boston
776,"Wheaton College, Massachusetts",Norton
723,Lindenwood University,St. Charles
749,SIT Graduate Institute,Brattleboro
821,Brigham Young University-Hawaii,Laie
770,Bob Jones University,Greenville
802,Walsh University,North Canton
790,St. Thomas University,Miami Gardens
747,Morehead State University,Morehead ...
741,Franklin University,Columbus ...
766,Westmont College,Santa Barbara
927,"The Graduate Center, CUNY",New York City
820,Colorado Mesa University,Grand Junction
793,Hartwick College,Oneonta
764,St John's College,Annapolis ...
768,Flagler College,St. Augustine ...
789,Saint Mary's University of Minnesota,Winona ...
796,Dominican University,River Forest
771,Baker College,Flint ...
806,"Westminster College, Pennsylvania",New Wilmington
779,Lynn University,Boca Raton
814,McNeese State University,Lake Charles
783,Westminster College,Salt Lake City
804,Rush University,Chicago
763,St. Norbert College,De Pere
792,Moravian College,Bethlehem
787,Northern State University,Aberdeen
795,Marymount University,Arlington
778,Grove City College,Grove City
885,Point Loma Nazarene University,San Diego ...
794,Muskingum University,New Concord
877,Robert Morris University,Moon Township ...
791,Concordia University Wisconsin,Mequon
777,Lake Forest College,Lake Forest
825,University of Wisconsin-Superior,Superior
1108,University of Mary,Bismarck
798,Franklin W. Olin College of Engineering,Needham
940,Carroll University,Waukesha ...
826,Governors State University,University Park
809,Christian Brothers University,Memphis
800,Montana Tech,Butte
887,University of Michigan-Dearborn,Dearborn
883,Southern Adventist University,Collegedale
788,Eastern Connecticut State University,Willimantic
797,Otterbein University,Westerville
808,Regis College,Weston
812,Dixie State University,St. George
917,Rogers State University,Claremore
